Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,age,biological_replicate,ecotype,sample_type
DRR395076,24161649,7248494700,150,2970,DRX380855,"RNA-seq of Arabiodpsis thaliana seedling: hy5 mutant, blue-light irradation, rep1",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248912,SAMD00505496,simple,3702,Arabidopsis thaliana,SAMD00505496,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: hy5 mutant, blue-light irradation rep1",BioSample_0031,3-day-old,1,Col-0,Whole plant
DRR395077,30637867,9191360100,150,3728,DRX380856,"RNA-seq of Arabiodpsis thaliana seedling: hy5 mutant, blue-light irradation, rep2",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248913,SAMD00505497,simple,3702,Arabidopsis thaliana,SAMD00505497,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: hy5 mutant, blue-light irradation rep2",BioSample_0032,3-day-old,2,Col-0,Whole plant
DRR395078,18073626,5422087800,150,2192,DRX380857,"RNA-seq of Arabiodpsis thaliana seedling: hy5 mutant, dark condition, rep1",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248914,SAMD00505499,simple,3702,Arabidopsis thaliana,SAMD00505499,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: hy5 mutant, dark condition rep1",BioSample_0034,3-day-old,1,Col-0,Whole plant
DRR395079,20087712,6026313600,150,2405,DRX380858,"RNA-seq of Arabiodpsis thaliana seedling: hy5 mutant, dark condition, rep2",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248915,SAMD00505500,simple,3702,Arabidopsis thaliana,SAMD00505500,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: hy5 mutant, dark condition rep2",BioSample_0035,3-day-old,2,Col-0,Whole plant
DRR395080,16432081,347328942,21,169,DRX380859,"Ribo-seq of Arabiodpsis thaliana seedling: DMSO (control), blue-light irradation, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248916,SAMD00505502,simple,3702,Arabidopsis thaliana,SAMD00505502,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: DMSO (control), blue-light irradation rep1",BioSample_0037,3-day-old,1,Col-0,Whole plant
DRR395081,13810694,305075425,22,147,DRX380860,"Ribo-seq of Arabiodpsis thaliana seedling: DMSO (control), blue-light irradation, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248917,SAMD00505503,simple,3702,Arabidopsis thaliana,SAMD00505503,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: DMSO (control), blue-light irradation rep2",BioSample_0038,3-day-old,2,Col-0,Whole plant
DRR395082,11311384,288534661,25,133,DRX380861,"Ribo-seq of Arabiodpsis thaliana seedling: DMSO (control), dark condition, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248918,SAMD00505505,simple,3702,Arabidopsis thaliana,SAMD00505505,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: DMSO (control), dark condition rep1",BioSample_0040,3-day-old,1,Col-0,Whole plant
DRR395083,24414186,624762941,25,288,DRX380862,"Ribo-seq of Arabiodpsis thaliana seedling: DMSO (control), dark condition, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248919,SAMD00505506,simple,3702,Arabidopsis thaliana,SAMD00505506,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: DMSO (control), dark condition rep2",BioSample_0041,3-day-old,2,Col-0,Whole plant
DRR395084,24592004,561534496,22,268,DRX380863,"Ribo-seq of Arabiodpsis thaliana seedling: DCMU (inhibitor), blue-light irradation, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248920,SAMD00505508,simple,3702,Arabidopsis thaliana,SAMD00505508,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: DCMU (inhibitor), blue-light irradation rep1",BioSample_0043,3-day-old,1,Col-0,Whole plant
DRR395085,16610992,377241751,22,181,DRX380864,"Ribo-seq of Arabiodpsis thaliana seedling: DCMU (inhibitor), blue-light irradation, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248921,SAMD00505509,simple,3702,Arabidopsis thaliana,SAMD00505509,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: DCMU (inhibitor), blue-light irradation rep2",BioSample_0044,3-day-old,2,Col-0,Whole plant
DRR395086,13180798,292275293,22,141,DRX380865,"Ribo-seq of Arabiodpsis thaliana seedling: DCMU (inhibitor), dark condition, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248922,SAMD00505511,simple,3702,Arabidopsis thaliana,SAMD00505511,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: DCMU (inhibitor), dark condition rep1",BioSample_0046,3-day-old,1,Col-0,Whole plant
DRR395087,13608090,302331966,22,146,DRX380866,"Ribo-seq of Arabiodpsis thaliana seedling: DCMU (inhibitor), dark condition, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248923,SAMD00505512,simple,3702,Arabidopsis thaliana,SAMD00505512,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: DCMU (inhibitor), dark condition rep2",BioSample_0047,3-day-old,2,Col-0,Whole plant
