Run,BioProject
ERR2382538,PRJEB25491
ERR2382539,PRJEB25491
ERR2382540,PRJEB25491
ERR2382541,PRJEB25491
ERR2382542,PRJEB25491
ERR2382543,PRJEB25491
ERR2382544,PRJEB25491
ERR2382545,PRJEB25491
ERR2382553,PRJEB25491
ERR2382555,PRJEB25491
ERR2382556,PRJEB25491
ERR2382557,PRJEB25491
ERR2382558,PRJEB25491
ERR2382559,PRJEB25491
ERR2382560,PRJEB25491
ERR2382566,PRJEB25491
ERR2382571,PRJEB25491
ERR2382572,PRJEB25491
ERR2382578,PRJEB25491
ERR2382594,PRJEB25491
ERR2382596,PRJEB25491
ERR2382597,PRJEB25491
ERR2382598,PRJEB25491
ERR2382599,PRJEB25491
ERR2382600,PRJEB25491
ERR2382601,PRJEB25491
ERR2382602,PRJEB25491
ERR2382603,PRJEB25491
ERR2382604,PRJEB25491
ERR2382605,PRJEB25491
ERR2382608,PRJEB25491
ERR2382609,PRJEB25491
ERR2382625,PRJEB25491
ERR2382627,PRJEB25491
ERR2382629,PRJEB25491
ERR2382631,PRJEB25491
ERR2382632,PRJEB25491
ERR2382636,PRJEB25491
ERR2382637,PRJEB25491
ERR2382638,PRJEB25491
ERR2382639,PRJEB25491
ERR2382640,PRJEB25491
ERR2382641,PRJEB25491
ERR2382642,PRJEB25491
ERR2382643,PRJEB25491
ERR2382644,PRJEB25491
ERR2382651,PRJEB25491
ERR2382658,PRJEB25491
ERR2382660,PRJEB25491
ERR2382661,PRJEB25491
ERR2382662,PRJEB25491
ERR2382663,PRJEB25491
ERR2382664,PRJEB25491
ERR2382665,PRJEB25491
ERR2382666,PRJEB25491
ERR2382667,PRJEB25491
ERR2382674,PRJEB25491
ERR2382675,PRJEB25491
ERR2382676,PRJEB25491
ERR2382677,PRJEB25491
ERR2382678,PRJEB25491
ERR2382679,PRJEB25491
ERR2382680,PRJEB25491
ERR2382681,PRJEB25491
ERR2382682,PRJEB25491
ERR2382685,PRJEB25491
ERR2382686,PRJEB25491
ERR2382687,PRJEB25491
